attribute,completeness,uniqueness,consistency,readability,name
balance,100.0,15.854548671783416,100.0,100.0,bank marketing
housing,100.0,0.00442370219636814,100.0,100.0,bank marketing
loan,100.0,0.00442370219636814,100.0,100.0,bank marketing
contact,100.0,0.0066355532945522105,100.0,100.0,bank marketing
day,100.0,0.06856738404370617,100.0,100.0,bank marketing
month,100.0,0.026542213178208842,100.0,31.50339519143571,bank marketing
duration,100.0,3.4792417774435425,100.0,100.0,bank marketing
campaign,100.0,0.10616885271283537,100.0,100.0,bank marketing
pdays,100.0,1.2364247638848953,100.0,100.0,bank marketing
previous,100.0,0.09068589502554687,100.0,100.0,bank marketing
poutcome,100.0,0.00884740439273628,100.0,100.0,bank marketing
y,100.0,0.00442370219636814,100.0,100.0,bank marketing
ID,100.0,100.0,100.0,100.0,credit card
LIMIT_BAL,100.0,0.27,100.0,100.0,credit card
SEX,100.0,0.006666666666666667,100.0,100.0,credit card
EDUCATION,100.0,0.023333333333333334,100.0,100.0,credit card
MARRIAGE,100.0,0.013333333333333334,100.0,100.0,credit card
AGE,100.0,0.18666666666666668,100.0,100.0,credit card
PAY_0,100.0,0.03666666666666667,100.0,100.0,credit card
PAY_2,100.0,0.03666666666666667,100.0,100.0,credit card
PAY_3,100.0,0.03666666666666667,100.0,100.0,credit card
PAY_4,100.0,0.03666666666666667,100.0,100.0,credit card
PAY_5,100.0,0.03333333333333333,100.0,100.0,credit card
PAY_6,100.0,0.03333333333333333,100.0,100.0,credit card
BILL_AMT1,100.0,75.74333333333333,100.0,100.0,credit card
BILL_AMT2,100.0,74.48666666666666,100.0,100.0,credit card
BILL_AMT3,100.0,73.42,100.0,100.0,credit card
BILL_AMT4,100.0,71.82666666666667,100.0,100.0,credit card
BILL_AMT5,100.0,70.03333333333333,100.0,100.0,credit card
BILL_AMT6,100.0,68.67999999999999,100.0,100.0,credit card
PAY_AMT1,100.0,26.476666666666667,100.0,100.0,credit card
PAY_AMT2,100.0,26.33,100.0,100.0,credit card
PAY_AMT3,100.0,25.06,100.0,100.0,credit card
PAY_AMT4,100.0,23.123333333333335,100.0,100.0,credit card
PAY_AMT5,100.0,22.99,100.0,100.0,credit card
PAY_AMT6,100.0,23.13,100.0,100.0,credit card
default.payment.next.month,100.0,0.006666666666666667,100.0,100.0,credit card
id,100.0,100.0,100.0,100.0,compas recid
