name,attribute,Disparate Impact,Statistical Parity Difference,Consistency
adult income,gender,0.3596552625800337,-0.19451574596420296,0.7514393349985391
adult income,race,0.6005915505110953,-0.10144450514172723,0.7514393349985391
adult income,age,0.2815483619443825,-0.21522898474515983,0.7514311453257165
kdd census,sex,,0.0,1.0
kdd census,race,,0.0,1.0
german credit,Sex,0.8965673282047968,-0.07480130902290782,0.6618000000000019
german credit,Age,0.8212484098784929,-0.12854990969960323,0.6622000000000018
dutch census,sex,0.5228940869266767,-0.2984780416148498,0.6119960278052408
bank marketing,age,2.8407985163535634,0.19107288299039504,0.9027891442348153
bank marketing,marital,1.3908403164996144,0.03956658602029975,0.9027847205326189
credit card,SEX,1.1632123935364134,0.033909465375304954,0.7435533333333704
credit card,MARRIAGE,1.121701505744539,0.02547010340093364,0.7435533333333704
credit card,EDUCATION,0.8721905374378761,-0.030335389189727197,0.7435533333333704
compas recid,race,1.2689103868524942,0.1305990650433515,0.9597726642639315
compas viol,race,1.1074628644813624,0.08512614375288852,0.954923044486612
diabetes,gender,0.9836073829926614,-0.0018433753715936807,0.8423500972819438
firefighter promotion,race,0.4975609756097561,-0.3029411764705882,0.9542372881355932
student mat,sex,0.9058493589743588,-0.06645927601809964,0.7215189873417717
student mat,age,0.7650591768238827,-0.16876030960538002,0.7205063291139235
student por,sex,0.6945169712793735,-0.05742162193996739,0.8634822804314327
student por,age,1.5847442523614328,0.07746611890258298,0.8631741140215714
law school,male,1.0,0.0,1.0
law school,racetxt,,,1.0
credit-g,personal_status,0.8987364064632589,-0.07428460693753636,0.6610000000000017
credit-g,age,0.8212484098784929,-0.12854990969960323,0.6618000000000017
hearth disease,age,0.5861702127659575,-0.21780515117581184,0.6587458745874579
nursery,parents,1.0,0.0,0.4667746913580586
speed dating,samerace,0.9421072691557548,-0.009881569860628103,0.8046073048460181
speed dating,importance_same_race,0.7923281611777309,-0.037000796489339016,0.8047027930293553
tae,English speaker,2.2271805273833674,0.3420011305822499,0.8768211920529801
titanic,Sex,3.928037164728569,0.5531300709799203,0.6590347923681268
