attribute,completeness,uniqueness,consistency,readability,name
loan,100.0,0.0044237021963681,100.0,100.0,bank marketing
contact,100.0,0.0066355532945522,100.0,100.0,bank marketing
day,100.0,0.0685673840437061,100.0,100.0,bank marketing
month,100.0,0.0265422131782088,100.0,31.50339519143571,bank marketing
duration,100.0,3.4792417774435425,100.0,100.0,bank marketing
campaign,100.0,0.1061688527128353,100.0,100.0,bank marketing
pdays,100.0,1.2364247638848953,100.0,100.0,bank marketing
previous,100.0,0.0906858950255468,100.0,100.0,bank marketing
poutcome,100.0,0.0088474043927362,100.0,100.0,bank marketing
y,100.0,0.0044237021963681,100.0,100.0,bank marketing
ID,100.0,100.0,100.0,100.0,credit card
LIMIT_BAL,100.0,0.2533333333333333,100.0,100.0,credit card
SEX,100.0,0.0066666666666666,100.0,100.0,credit card
EDUCATION,100.0,0.0166666666666666,100.0,100.0,credit card
MARRIAGE,100.0,0.0133333333333333,100.0,100.0,credit card
AGE,100.0,0.1866666666666666,100.0,100.0,credit card
PAY_0,100.0,0.0366666666666666,100.0,100.0,credit card
PAY_2,100.0,0.0366666666666666,100.0,100.0,credit card
PAY_3,100.0,0.0366666666666666,100.0,100.0,credit card
PAY_4,100.0,0.0366666666666666,100.0,100.0,credit card
PAY_5,100.0,0.0333333333333333,100.0,100.0,credit card
PAY_6,100.0,0.0333333333333333,100.0,100.0,credit card
BILL_AMT1,100.0,75.74333333333333,100.0,100.0,credit card
BILL_AMT2,100.0,74.48666666666666,100.0,100.0,credit card
BILL_AMT3,100.0,73.42,100.0,100.0,credit card
BILL_AMT4,100.0,71.82666666666667,100.0,100.0,credit card
BILL_AMT5,100.0,70.03333333333333,100.0,100.0,credit card
BILL_AMT6,100.0,68.66666666666667,100.0,100.0,credit card
PAY_AMT1,100.0,26.476666666666667,100.0,100.0,credit card
PAY_AMT2,100.0,26.33,100.0,100.0,credit card
PAY_AMT3,100.0,25.06,100.0,100.0,credit card
PAY_AMT4,100.0,23.12333333333333,100.0,100.0,credit card
PAY_AMT5,100.0,22.99,100.0,100.0,credit card
PAY_AMT6,100.0,23.116666666666667,100.0,100.0,credit card
default.payment.next.month,100.0,0.0066666666666666,100.0,100.0,credit card
id,100.0,100.0,100.0,100.0,compas recid
name,100.0,99.22373163293597,100.0,3.2436928195176047,compas recid
first,100.0,38.8134183532021,100.0,14.51344607707236,compas recid
last,100.0,54.75464374826726,100.0,21.361242029387306,compas recid
compas_screening_date,100.0,9.564735237039091,100.0,0.0,compas recid
sex,100.0,0.0277238702522872,100.0,100.0,compas recid
dob,100.0,75.57527030773497,100.0,0.0,compas recid
age,100.0,0.7346825616856113,100.0,100.0,compas recid
age_cat,100.0,0.0415858053784308,100.0,0.0,compas recid
race,100.0,0.0831716107568616,100.0,5.22594954255614,compas recid
juv_fel_count,100.0,0.1524812863875797,100.0,100.0,compas recid
decile_score,100.0,0.1386193512614361,100.0,100.0,compas recid
juv_misd_count,100.0,0.1386193512614361,100.0,100.0,compas recid
juv_other_count,100.0,0.1386193512614361,100.0,100.0,compas recid
priors_count,100.0,0.5128915996673136,100.0,100.0,compas recid
days_b_screening_arrest,100.0,5.863598558358747,100.0,100.0,compas recid
c_jail_in,100.0,95.74438591627391,100.0,0.0,compas recid
c_jail_out,100.0,95.37011366786804,100.0,0.0,compas recid
c_case_number,100.0,99.69503742722485,100.0,0.0,compas recid
c_offense_date,100.0,12.850013861935125,100.0,0.0,compas recid
c_arrest_date,100.0,8.039922373163295,100.0,0.0,compas recid
c_days_from_compas,100.0,6.91710562794566,100.0,100.0,compas recid
c_charge_degree,100.0,0.0277238702522872,100.0,100.0,compas recid
c_charge_desc,100.0,6.057665650124757,100.0,52.02384252841696,compas recid
is_recid,100.0,0.0277238702522872,100.0,100.0,compas recid
r_case_number,100.0,48.11477682284447,100.0,0.0,compas recid
r_charge_degree,100.0,0.1386193512614361,100.0,0.0,compas recid
r_days_from_arrest,100.0,2.772387025228722,100.0,100.0,compas recid
r_offense_date,100.0,14.90158026060438,100.0,0.0,compas recid
r_charge_desc,100.0,4.713057942888828,100.0,68.72747435542001,compas recid
r_jail_in,100.0,13.473800942611588,100.0,0.0,compas recid
r_jail_out,100.0,13.002495148322708,100.0,0.0,compas recid
is_violent_recid,100.0,0.0277238702522872,100.0,100.0,compas recid
vr_case_number,100.0,11.352924868311616,100.0,0.0,compas recid
vr_charge_degree,100.0,0.1247574161352925,100.0,0.0,compas recid
vr_offense_date,100.0,7.901303021901858,100.0,0.0,compas recid
vr_charge_desc,100.0,1.1505406154699196,100.0,94.17798724701969,compas recid
type_of_assessment,100.0,0.0138619351261436,100.0,100.0,compas recid
decile_score.1,100.0,0.1386193512614361,100.0,100.0,compas recid
score_text,100.0,0.0415858053784308,100.0,100.0,compas recid
screening_date,100.0,9.564735237039091,100.0,0.0,compas recid
v_type_of_assessment,100.0,0.0138619351261436,100.0,100.0,compas recid
v_decile_score,100.0,0.1386193512614361,100.0,100.0,compas recid
v_score_text,100.0,0.0415858053784308,100.0,100.0,compas recid
v_screening_date,100.0,9.564735237039091,100.0,0.0,compas recid
in_custody,100.0,16.024397005822014,100.0,0.0,compas recid
out_custody,100.0,16.204602162461878,100.0,0.0,compas recid
priors_count.1,100.0,0.5128915996673136,100.0,100.0,compas recid
start,100.0,3.2852786248960357,100.0,100.0,compas recid
end,100.0,15.456057665650125,100.0,100.0,compas recid
event,100.0,0.0277238702522872,100.0,100.0,compas recid
two_year_recid,100.0,0.0277238702522872,100.0,100.0,compas recid
id,100.0,100.0,100.0,100.0,compas viol
name,100.0,99.53615854944128,100.0,3.1836390470166567,compas viol
first,100.0,44.57094665823318,100.0,14.73750790638836,compas viol
last,100.0,61.07948555766393,100.0,20.830697870546068,compas viol
compas_screening_date,100.0,12.3550495467004,100.0,0.0,compas viol
sex,100.0,0.0421674045962471,100.0,100.0,compas viol
dob,100.0,83.87096774193549,100.0,0.0,compas viol
age,100.0,1.1596036263967953,100.0,100.0,compas viol
age_cat,100.0,0.0632511068943706,100.0,0.0,compas viol
race,100.0,0.1265022137887413,100.0,5.903436643474594,compas viol
juv_fel_count,100.0,0.0843348091924942,100.0,100.0,compas viol
decile_score,100.0,0.2108370229812355,100.0,100.0,compas viol
juv_misd_count,100.0,0.0210837022981235,100.0,100.0,compas viol
juv_other_count,100.0,0.0421674045962471,100.0,100.0,compas viol
priors_count,100.0,0.6957621758380772,100.0,100.0,compas viol
days_b_screening_arrest,100.0,6.514864010120178,100.0,100.0,compas viol
c_jail_in,100.0,94.34956778410287,100.0,0.0,compas viol
c_jail_out,100.0,94.15981446341978,100.0,0.0,compas viol
c_case_number,100.0,99.76807927472063,100.0,0.0,compas viol
c_offense_date,100.0,16.15011596036264,100.0,0.0,compas viol
c_arrest_date,100.0,8.960573476702509,100.0,0.0,compas viol
c_days_from_compas,100.0,8.939489774404386,100.0,100.0,compas viol
c_charge_degree,100.0,0.0421674045962471,100.0,100.0,compas viol
c_charge_desc,100.0,7.632300231920726,100.0,53.23634830276196,compas viol
is_recid,100.0,0.0421674045962471,100.0,100.0,compas viol
r_case_number,100.0,20.97828378663293,100.0,0.0,compas viol
r_charge_degree,100.0,0.2108370229812355,100.0,0.0,compas viol
r_days_from_arrest,100.0,1.0541851149061774,100.0,100.0,compas viol
r_offense_date,100.0,14.231499051233396,100.0,0.0,compas viol
r_charge_desc,100.0,4.132405650432216,100.0,87.7292852624921,compas viol
r_jail_in,100.0,11.005692599620494,100.0,0.0,compas viol
r_jail_out,100.0,10.415348935273034,100.0,0.0,compas viol
is_violent_recid,100.0,0.0421674045962471,100.0,100.0,compas viol
vr_case_number,100.0,17.267552182163186,100.0,0.0,compas viol
vr_charge_degree,100.0,0.1897533206831119,100.0,0.0,compas viol
vr_offense_date,100.0,12.017710309930424,100.0,0.0,compas viol
vr_charge_desc,100.0,1.7499472907442546,100.0,91.14484503478812,compas viol
type_of_assessment,100.0,0.0210837022981235,100.0,100.0,compas viol
decile_score.1,100.0,0.2108370229812355,100.0,100.0,compas viol
score_text,100.0,0.0632511068943706,100.0,100.0,compas viol
screening_date,100.0,12.3550495467004,100.0,0.0,compas viol
v_type_of_assessment,100.0,0.0210837022981235,100.0,100.0,compas viol
v_decile_score,100.0,0.2108370229812355,100.0,100.0,compas viol
v_score_text,100.0,0.0632511068943706,100.0,100.0,compas viol
v_screening_date,100.0,12.3550495467004,100.0,0.0,compas viol
in_custody,100.0,21.14695340501792,100.0,0.0,compas viol
out_custody,100.0,21.33670672570103,100.0,0.0,compas viol
priors_count.1,100.0,0.6957621758380772,100.0,100.0,compas viol
start,100.0,3.795066413662239,100.0,100.0,compas viol
end,100.0,21.062618595825427,100.0,100.0,compas viol
event,100.0,0.0421674045962471,100.0,100.0,compas viol
two_year_recid,100.0,0.0421674045962471,100.0,100.0,compas viol
two_year_recid.1,100.0,0.0421674045962471,100.0,100.0,compas viol
encounter_id,100.0,100.0,100.0,100.0,diabetes
patient_nbr,100.0,70.27690977340173,100.0,100.0,diabetes
race,100.0,0.0058958787807322,100.0,1.4798655739637991,diabetes
gender,100.0,0.0029479393903661,100.0,99.99705206060963,diabetes
age,100.0,0.0098264646345537,100.0,0.0,diabetes
weight,100.0,0.0098264646345537,100.0,0.0,diabetes
admission_type_id,100.0,0.007861171707643,100.0,100.0,diabetes
discharge_disposition_id,100.0,0.0255488080498398,100.0,100.0,diabetes
admission_source_id,100.0,0.0167049898787414,100.0,100.0,diabetes
time_in_hospital,100.0,0.0137570504883752,100.0,100.0,diabetes
payer_code,100.0,0.0176876363421968,100.0,3.041290804394395,diabetes
medical_specialty,100.0,0.0717331918322426,100.0,13.002378004441562,diabetes
num_lab_procedures,100.0,0.1159522826877346,100.0,100.0,diabetes
num_procedures,100.0,0.0068785252441876,100.0,100.0,diabetes
num_medications,100.0,0.0736984847591533,100.0,100.0,diabetes
number_outpatient,100.0,0.0383232120747597,100.0,100.0,diabetes
number_emergency,100.0,0.0324273332940274,100.0,100.0,diabetes
number_inpatient,100.0,0.0206355757325629,100.0,100.0,diabetes
diag_1,100.0,0.704557514297506,100.0,0.0,diabetes
diag_2,100.0,0.7360022011280781,100.0,0.0,diabetes
diag_3,100.0,0.7762907061297486,100.0,0.0,diabetes
number_diagnoses,100.0,0.015722343415286,100.0,100.0,diabetes
max_glu_serum,100.0,0.0039305858538215,100.0,97.29870487196116,diabetes
A1Cresult,100.0,0.0039305858538215,100.0,88.1807283375587,diabetes
metformin,100.0,0.0039305858538215,100.0,100.0,diabetes
repaglinide,100.0,0.0039305858538215,100.0,100.0,diabetes
nateglinide,100.0,0.0039305858538215,100.0,100.0,diabetes
chlorpropamide,100.0,0.0039305858538215,100.0,100.0,diabetes
glimepiride,100.0,0.0039305858538215,100.0,100.0,diabetes
acetohexamide,100.0,0.0019652929269107,100.0,100.0,diabetes
glipizide,100.0,0.0039305858538215,100.0,100.0,diabetes
glyburide,100.0,0.0039305858538215,100.0,100.0,diabetes
tolbutamide,100.0,0.0019652929269107,100.0,100.0,diabetes
pioglitazone,100.0,0.0039305858538215,100.0,100.0,diabetes
rosiglitazone,100.0,0.0039305858538215,100.0,100.0,diabetes
acarbose,100.0,0.0039305858538215,100.0,100.0,diabetes
miglitol,100.0,0.0039305858538215,100.0,100.0,diabetes
troglitazone,100.0,0.0019652929269107,100.0,100.0,diabetes
tolazamide,100.0,0.0029479393903661,100.0,100.0,diabetes
examide,100.0,0.0009826464634553,100.0,100.0,diabetes
citoglipton,100.0,0.0009826464634553,100.0,100.0,diabetes
insulin,100.0,0.0039305858538215,100.0,100.0,diabetes
glyburide-metformin,100.0,0.0039305858538215,100.0,100.0,diabetes
glipizide-metformin,100.0,0.0019652929269107,100.0,100.0,diabetes
glimepiride-pioglitazone,100.0,0.0019652929269107,100.0,100.0,diabetes
metformin-rosiglitazone,100.0,0.0019652929269107,100.0,100.0,diabetes
metformin-pioglitazone,100.0,0.0019652929269107,100.0,100.0,diabetes
change,100.0,0.0019652929269107,100.0,53.80480710649922,diabetes
diabetesMed,100.0,0.0019652929269107,100.0,100.0,diabetes
readmitted,100.0,0.0029479393903661,100.0,53.911915571015854,diabetes
position,100.0,1.694915254237288,100.0,100.0,firefighter promotion
oral,100.0,68.64406779661016,100.0,100.0,firefighter promotion
written,100.0,31.35593220338983,100.0,100.0,firefighter promotion
race,100.0,2.5423728813559325,100.0,100.0,firefighter promotion
combine,100.0,95.76271186440678,100.0,100.0,firefighter promotion
promotion,100.0,1.694915254237288,100.0,100.0,firefighter promotion
school,100.0,0.5063291139240507,100.0,0.0,student mat
sex,100.0,0.5063291139240507,100.0,100.0,student mat
age,100.0,1.5189873417721518,100.0,100.0,student mat
address,100.0,0.5063291139240507,100.0,100.0,student mat
famsize,100.0,0.5063291139240507,100.0,0.0,student mat
Pstatus,100.0,0.5063291139240507,100.0,100.0,student mat
Medu,100.0,1.2658227848101269,100.0,100.0,student mat
Fedu,100.0,1.2658227848101269,100.0,100.0,student mat
Mjob,100.0,1.2658227848101269,100.0,58.9873417721519,student mat
Fjob,100.0,1.2658227848101269,100.0,66.83544303797468,student mat
reason,100.0,1.0126582278481011,100.0,100.0,student mat
guardian,100.0,0.7594936708860759,100.0,100.0,student mat
traveltime,100.0,0.7594936708860759,100.0,100.0,student mat
studytime,100.0,1.0126582278481011,100.0,100.0,student mat
failures,100.0,0.7594936708860759,100.0,100.0,student mat
schoolsup,100.0,0.5063291139240507,100.0,100.0,student mat
famsup,100.0,0.5063291139240507,100.0,100.0,student mat
paid,100.0,0.5063291139240507,100.0,100.0,student mat
activities,100.0,0.5063291139240507,100.0,100.0,student mat
nursery,100.0,0.5063291139240507,100.0,100.0,student mat
higher,100.0,0.5063291139240507,100.0,100.0,student mat
internet,100.0,0.5063291139240507,100.0,100.0,student mat
romantic,100.0,0.5063291139240507,100.0,100.0,student mat
famrel,100.0,1.0126582278481011,100.0,100.0,student mat
freetime,100.0,1.2658227848101269,100.0,100.0,student mat
goout,100.0,1.2658227848101269,100.0,100.0,student mat
Dalc,100.0,0.7594936708860759,100.0,100.0,student mat
Walc,100.0,1.2658227848101269,100.0,100.0,student mat
health,100.0,1.2658227848101269,100.0,100.0,student mat
absences,100.0,6.075949367088607,100.0,100.0,student mat
G1,100.0,4.30379746835443,100.0,100.0,student mat
G2,100.0,4.30379746835443,100.0,100.0,student mat
G3,100.0,0.5063291139240507,100.0,100.0,student mat
school,100.0,0.3081664098613251,100.0,0.0,student por
sex,100.0,0.3081664098613251,100.0,100.0,student por
age,100.0,0.9244992295839756,100.0,100.0,student por
